DIVIPOLA,Municipio,Departamento,abstencion_2018,margen_2018,abstencion_2022,margen_2022,margen_2026,tasa_nulos_2026,IPM_2018,total_victimas,Amenaza,Desplazamiento forzado,Homicidio,abstencion_prom,margen_prom,abstencion_prom_norm,margen_prom_norm,IPM_2018_norm,total_victimas_norm,tasa_nulos_2026_norm,indice_fragilidad,nivel_riesgo,cluster,perfil_cluster
81591,PUERTO RONDON,ARAUCA,0.5793193717277487,0.7474160206718347,0.6280503467762651,0.3347427766032417,,0.06022530329289428,45.0,6697,587,5448,662,0.603684859252007,0.5410793986375382,0.516773805684462,0.6237655670912053,0.4406964091403699,0.16197779336703838,0.15720871066501552,65.39,Alto,1,Fragilidad Alta
81736,SARAVENA,ARAUCA,0.5189319262437667,0.22219344814191377,0.5008922336876406,0.32943637046173646,,0.06022530329289428,39.4,11342,3730,5038,2574,0.5099120799657036,0.2758149093018251,0.3811357575916539,0.31623235675277017,0.37976060935799777,0.27434142093422675,0.15720871066501552,51.41,Alto,2,Fragilidad Media
18001,FLORENCIA,CAQUETÁ,0.43525035860826633,0.3279117933723197,0.4452752172358583,0.12589922850898144,,0.06022530329289428,29.6,10661,3057,5641,1963,0.4402627879220623,0.22690551094065056,0.28039123347979006,0.25952946247770003,0.27312295973884654,0.25786787295290164,0.15720871066501552,40.86,Medio,2,Fragilidad Media
18029,ALBANIA,CAQUETÁ,0.5093340060544904,0.5941018766756032,0.48263473053892214,0.37505949547834366,,0.06022530329289428,38.8,6364,1099,4522,743,0.4959843682967063,0.48458068607697347,0.3609899579303852,0.5582640350269221,0.3732317736670293,0.15392244611625824,0.15720871066501552,54.21,Alto,1,Fragilidad Alta
18150,CARTAGENA DEL CHAIRA,CAQUETÁ,0.6802724652868745,0.022731277533039648,0.6343030020944845,0.23127962085308057,,0.06022530329289428,63.3,11749,3619,5879,2251,0.6572877336906795,0.12700544919306012,0.5943079186366562,0.1437107685425215,0.6398258977149074,0.28418684535184696,0.15720871066501552,65.01,Alto,0,Fragilidad Muy Alta
18094,BELEN DE LOS ANDAQUIES,CAQUETÁ,0.5074393108848865,0.49986084052323965,0.5040234089246525,0.2664800203614151,,0.06022530329289428,50.0,7653,2071,4493,1089,0.5057313599047695,0.38317043044232735,0.375088536713661,0.44069450450037473,0.49510337323177356,0.18510365514405283,0.15720871066501552,56.86,Alto,2,Fragilidad Media
18247,EL DONCELLO,CAQUETÁ,0.5559855521155831,0.38525859399194795,0.5634558961233536,0.1968609865470852,,0.06022530329289428,44.3,9722,1856,5761,2105,0.5597207241194684,0.29105979026951656,0.4531816894983847,0.3339064419534019,0.4330794341675734,0.23515324511962069,0.15720871066501552,55.7,Alto,2,Fragilidad Media
18256,EL PAUJIL,CAQUETÁ,0.619274241522903,0.14949064202795545,0.6085457145260325,0.08479467258601554,,0.06022530329289428,45.5,8686,1560,5256,1870,0.6139099780244677,0.1171426573069855,0.5315639736028004,0.13227638447091014,0.4461371055495103,0.21009216478386025,0.15720871066501552,52.13,Alto,0,Fragilidad Muy Alta
18410,LA MONTAÑITA,CAQUETÁ,0.6256130790190736,0.12012087635356333,0.6414471033760374,0.1592489568845619,,0.06022530329289428,56.2,8921,3236,3398,2287,0.6335300911975554,0.13968491661906263,0.5599435723990827,0.1584106529208079,0.5625680087051143,0.2157768693001766,0.15720871066501552,58.88,Alto,0,Fragilidad Muy Alta
18592,PUERTO RICO,CAQUETÁ,0.5934396788506233,0.33267964700938507,0.5951727642276423,0.19883966244725737,,0.06022530329289428,54.3,11585,4040,4041,3504,0.5943062215391328,0.2657596547283212,0.5032080340092948,0.3045748419172797,0.5418933623503808,0.2802196473064177,0.15720871066501552,62.49,Alto,0,Fragilidad Muy Alta
